grid,nodes,edges,edit,seeds,dirty,recomputed,dirty_frac,t_global_ms,t_full_ms,t_local_ms,speedup,bit_exact,cert_residual,t_cert_ms,t_full_sp_ms,t_local_sp_ms
1,78,114,initial,,,,,7054.6658,6.1016,,,,,,6.4596,
1,79,115,add1,2,21,21,0.1826,,6.4222,1.1721,5.48,1,0,0.6055,6.4561,1.1572
1,80,117,add2,3,27,27,0.2308,,6.5722,1.5357,4.28,1,0,0.5726,6.5322,1.5540
1,81,118,add_corner,2,15,15,0.1271,,6.8115,1.1209,6.08,1,0,0.5606,6.7621,1.1233
1,80,116,delete,2,25,25,0.2155,,6.6204,1.4574,4.54,1,0,0.5419,6.5866,1.4420
2,313,459,initial,,,,,,28.6282,,,,,,28.6582,
2,314,460,add1,2,21,21,0.0457,,28.7261,1.5105,19.02,1,0,4.0428,28.7680,1.5224
2,315,462,add2,3,28,28,0.0606,,29.0265,2.0544,14.13,1,0,4.0892,28.8559,2.0082
2,316,463,add_corner,2,15,15,0.0324,,29.2961,1.4036,20.87,1,0,4.3828,29.3680,1.4035
2,315,461,delete,2,26,26,0.0564,,29.0805,1.9247,15.11,1,0,4.0552,29.0797,1.9282
3,1255,1845,initial,,,,,,147.4899,,,,,,146.9125,
3,1256,1846,add1,2,21,21,0.0114,,148.6255,2.8589,51.99,1,,,147.5189,2.6009
3,1257,1848,add2,3,28,28,0.0152,,149.3021,3.5778,41.73,1,,,147.8437,3.3242
3,1258,1849,add_corner,2,15,15,0.0081,,149.0392,2.5023,59.56,1,,,149.3183,2.2424
3,1257,1847,delete,2,26,26,0.0141,,150.4595,3.3913,44.37,1,,,149.6604,3.2196
4,5023,7389,initial,,,,,,1165.2036,,,,,,1097.0763,
4,5024,7390,add1,2,21,21,0.0028,,1172.7025,83.4494,14.05,1,,,1110.1849,6.8842
4,5025,7392,add2,3,28,28,0.0038,,1178.5592,83.4823,14.12,1,,,1115.7556,8.1155
4,5026,7393,add_corner,2,15,15,0.0020,,1186.0608,81.4234,14.57,1,,,1114.0462,6.5044
4,5025,7391,delete,2,26,26,0.0035,,1187.1301,82.8181,14.33,1,,,1119.0721,8.1923
